input,rle,cost,output
xs0_0,3bo$2bo$2b3o4$3o$2bo$bo!,2,xp2_7x7,
xs0_0,bo$2bo$3o4$b2o$obo$2bo!,2,xp2_f,
xs0_0,o$b2o$2o$5b3o$5bo$6bo!,2,xp2_07ze,
xs0_0,bo$2bo$3o2$4bobo$4b2o$5bo!,2,xp2_7,
xs0_0,11bo$bo8b2o$b2o7bobo$obo2$7b3o$9bo$8bo!,3,xp2_7xgggx7,
xs0_0,14bo$14bobo$14b2o9$6bo$5b2o$bo3bobo$b2o$obo!,3,xp2_256zy4s,
xs0_0,bo$2bo$3o4$3b3o$3bo$4bo6$12bo$11b2o$11bobo!,3,xp2_7zxee,
xs0_0,5bo$3bobo$4b2o3$2bo$obo$b2o3$2o$b2o$o!,3,xp2_111zeey6e,
xs0_0,6bo$4b2o$5b2o2$2o$b2o$o11$13b3o$13bo$14bo!,3,xp2_ed96zy3f,
xs0_0,7bo$5b2o5b2o$3o3b2o4bobo$2bo9bo$bo!,3,xp2_7zy3eey0f,
xs0_0,6bobo$6b2o$7bo$bo$b2o$obo9$16b3o$16bo$17bo!,3,xp2_77zw6996,
xs0_0,2bobo$2b2o$3bo2$6bo$2o3b2o$obo2bobo$o!,3,xp2_0fzciic,
xs0_0,6bo$5bo$5b3o2$2o$b2o$o10$16bo$15b2o$15bobo!,3,xp2_7y2s,
xs0_0,11bo$11bobo$3o8b2o$2bo$bo$5b2o$4b2o$6bo!,3,xp2_gxfz3,
xs0_0,14bo$13bo$13b3o13$o$b2o$2o3$2b2o$2bobo$2bo!,3,xp2_07z7,
xs0_0,5bo$4bo$4b3o3$2bobo$3b2o$3bo7$2o$b2o$o!,3,xp2_696y3ezx256,
xs0_0,16bo$14b2o$15b2o5$o$b2o$2o$5b3o$5bo$6bo!,3,xp2_333zy27,
xs0_0,o$b2o3b2o$2o3b2o$7bo6$3b3o$5bo$4bo!,3,xp2_77zx8kc,
xs0_0,5bo$6bo$4b3o$2o$b2o$o6$7b2o$7bobo$7bo!,3,xp2_fzzx4a96,
xs0_0,bo$2bo$3o6$12bo$12bobo$12b2o$7b3o$9bo$8bo!,3,xp2_ow6996z3,
xs0_0,15bo$15bobo$15b2o$bo$2bo$3o2$4bo$4b2o$3bobo!,3,xp2_2a54,
xs0_0,17b3o$12bobo2bo$13b2o3bo$13bo5$3o$2bo$bo!,3,xp2_4a96zy777zy0ooo,
xs0_0,14bobo$15b2o$15bo3bobo$19b2o$20bo2$bo$b2o$obo!,3,xp2_0fz4a6,
xs0_0,o6bo$b2o2b2o$2o4b2o19$18b3o$18bo$19bo!,3,xp2_77ze,
xs0_0,10bo$10bobo$10b2o6$bo$b2o$obo3bo$5b2o$5bobo!,3,xp2_7xgggx7zzz111,
xs0_0,19bo$17b2o$18b2o4$bo$b2o$obo2$4b3o$4bo$5bo!,3,xp2_ff,
xs0_0,obo$b2o$bo7$13bo$13bobo$13b2o3$11bo$11b2o$10bobo!,3,xp2_7zwooo,
xs0_0,6bo$5b2o$5bobo$b2o$obo$2bo3$8b2o$7b2o$9bo!,3,xp2_fzy7gy2szy77,
xs0_0,8bo$6b2o$7b2o8$2o4b2o$b2o2b2o$o6bo!,3,xp2_x7zsz1,
xs0_0,6bo$3o2bo$2bo2b3o4bo$bo8b2o$11b2o!,3,xp2_fzy27,
xs0_0,5bobo$5b2o$6bo3b3o$2o8bo$b2o8bo$o!,3,xp2_69b7,
xs0_0,obo$2o$bo3$2bo$b2o$bobo3$9bo$8b2o$8bobo!,3,xp2_77y3f,
xs0_0,7bo$8b2o$7b2o2$11bobo$11b2o$12bo5$3o$2bo$bo!,3,xp2_352y77,
xs0_0,12bo$11bo$7bo3b3o$7b2o$6bobo12$3o$2bo$bo!,3,xp2_2596xe,
xs0_0,7b2o$7bobo$bo5bo$b2o$obo2$4b3o$4bo$5bo!,3,xp2_7zw6996,
xs0_0,3bo$4b2o$3b2o3$3o$2bo$bo4$3o$2bo$bo!,3,xp2_6952xf,
xs0_0,bo$b2o3bo$obo2bo$5b3o5$6b2o$5bobo$7bo!,3,xp2_y3333zoy8ez1,
