input,rle,cost,output
xs0_0,obo$b2o$bo3$3b2o$3bobo$3bo4$7b2o$6b2o$8bo!,3,xs13_2552y44a96,
xs0_0,2bo$obo$b2o6$11bo$12bo$10b3o2$14bo$13bo$13b3o!,3,xs13_2552xcia4,
xs0_0,o$b2o$2o7$18bo$16b2o$17b2o2$11b3o$13bo$12bo!,3,xs13_352y0ciic,
xs0_0,5bobo$6b2o$6bo3bobo$10b2o$11bo2$obo$b2o$bo9$2b2o$3b2o$2bo!,4,xs13_352y9ciic,
xs0_0,17bo$16bo$16b3o$12bo$12b2o$3o8bobo$2bo$bo4$23b2o$22b2o$24bo!,4,xs13_352zy3ciic,
xs0_0,19bo$17b2o$18b2o4$4bobo$5b2o14bo$5bo14b2o$b2o17bobo$obo$2bo!,4,xs13_2552x6952,
xs0_0,17bo$15bobo$16b2o$21bo$21bobo$21b2o4$23b2o$bo20b2o$b2o10b3o8bo$obo12bo$14bo!,5,xs13_2552zy9cia4,
xs0_0,obo$b2o$bo4$18bo$10bo5b2o$10bobo4b2o$10b2o5$2b3o$4bo2bobo$3bo3b2o$8bo!,5,xs13_2596zy8ca6,
xs0_0,23bobo$23b2o$6bo6bo10bo$7b2o2b2o$6b2o4b2o3$12bo$11bo$11b3o3$bo$b2o$obo!,5,xs13_4a96zyf2552,
xp2_fzy0652,6bo$4bobo$5b2o4$4b4o4$2o$obo$bo!,1,xs13_652zy36996,
xp2_fzy0652,bo4bo$2bo3bo$3o3bo$6bo2$11bo$10bobo$10b2o!,1,xs13_253wciic,
xs21_g8o0e96y2cik8z121,13bo$14bo$12b3o3$15bo$14bobo$b2o11bobo$o2bo7b2ob2o$bobo6bobo$2bo7bobo$11bo!,1,xs13_x69a4zz0gz343,
xs21_g8o0e96y2cik8z121,10bo$2bo6bobo7bo$obo6bobo6bobo$b2o3b2ob2o7bo2bo$5bobo11b2o$5bobo$6bo!,1,xs13_69a4zzzx2552,
xs21_g8o0e96y2cik8z121,3bo$4bo$2b3o3$5bo$4bobo7bo$4bobo6bobo$b2ob2o7bo2bo$obo11b2o$obo$bo!,1,xs13_w4a96z0gz343,
xp2_352xf,2bo$obo$b2o4$4o4$bo$obo$2o!,1,xs13_352zx6996,
xp2_352xf,bo4bo$2bo3bo4bo$3o3bo3bobo$6bo4b2o!,1,xs13_253zw6996,
xp2_6996x7,bo$2bo$3o4$b3o4$2b2o$bo2bo$bo2bo$2b2o!,1,xs13_256y16996,
xp2_6996x7,2bo8b2o$obo3bo3bo2bo$b2o3bo3bo2bo$6bo4b2o!,1,xs13_256y1ciic,
