input,rle,cost,output
xs0_0,2o$b2o2b3o$o4bo$6bo6$2b2o12b2o$bobo12bobo$3bo12bo!,4,xp2_33zy2ey2888zw1110s0111wggg07,
xs0_0,10b3o$10bo$5b3o3bo$7bo$6bo6$bo13bo$b2o11b2o6bo$obo11bobo4b2o$21bobo!,5,xp2_696w888zx70ggg07,
xs0_0,17bo$17b2o2b3o$16bobo2bo$22bo$bo$b2o$obo12b2o$14b2o$16bo$4b2o$5b2o$4bo!,5,xp2_ycggg070gggz033x33y033y2ezzz7,
xs0_0,18b3o$bo16bo$b2o16bo$obo8b2o$10bobo$12bo2$4bo$4b2o6b3o$3bobo6bo$13bo!,5,xp2_66y6g111zy133y0121zyfrrzy1ooy0g8gzccy61ggg,
xs0_0,b2o$obo$2bo3b2o$6bobo$6bo3$4b2o9b3o$3b2o10bo$5bo10bo!,4,xp2_696xs,
xs0_0,2o$b2o$o9b3o$5bo4bo$4b2o5bo$4bobo5$7b2o$7bobo$7bo!,4,xp2_gg33y4ez1hy21110s0111z03,
xs0_0,7bo$bo5b2o$b2o3bobo$obo8b3o$11bo$12bo4$14b2o$13b2o$15bo!,4,xp2_06952z7z07,
xs0_0,8bo6bo$2o7b2o2b2o$b2o5b2o4b2o$o!,3,xp2_7x4aicy7cczx66y24a6,
xs0_0,17bo$15b2o$16b2o4$4bo$5b2o$4b2o2$2o$b2o$o!,3,xp2_y2696z02552wgw2552y2cczccy0343zye7zw7,
xs0_0,obo$b2o$bo2$14bobo$14b2o$15bo3$16bo$15b2o$15bobo!,3,xp2_y633zzy72552z66y7cczynooy2gzxgox2596yi3452zx31yj33,
xs0_0,16bo$o13b2o$b2o12b2o$2o$11b2o$10b2o$12bo!,3,xp2_g88gy5696z121y12552wgw2552zy1sy3343,
xs0_0,obo$2o$bo5$2bobo$2b2o$3bo3$4bo$3b2o$3bobo!,3,xp2_0ccy96952zwggyhoozw11y1szca6,
xs0_0,12b2o$6b2o3b2o$7b2o4bo$6bo$2o$b2o$o!,3,xp2_111y4s,
xs0_0,23bo$21b2o$22b2o2$18b2o$17b2o$19bo12$2o$b2o$o!,3,xp2_70ggg07,
xs0_0,o$b2o$2o4$5b2o$4b2o$6bo2$b2o$2b2o$bo!,3,xp2_33zs,
xs0_0,2bo$2o$b2o2$9bo$2b2o3b2o$3b2o3b2o$2bo!,3,xp2_s01110szw222ws01110szy5222,
xs0_0,obo$b2o$bo4$13bobo$13b2o$14bo3$14bo$13b2o$13bobo!,3,xp2_ggg07y270gggzw8kk8y1e,
xs0_0,o$b2o$2o3$3bo$4b2o$3b2o3$2b2o$b2o$3bo!,3,xp2_33zxg8ozca611wokczex653,
xs0_0,o6bo$b2o2b2o$2o4b2o6$4b2o$5b2o$4bo!,3,xp2_ccxggg070gggzy5e,
xs0_0,bo$b2o$obo$13bo$5bo6b2o$4b2o6bobo$4bobo!,3,xp2_s01110szw66,
xs0_0,obo$b2o$bo7$7bobo$7b2o$8bo$12bo$11b2o$11bobo!,3,xp2_s01110szw222x69a4,
xs0_0,16b2o$15b2o$17bo2$12b2o$13b2o$12bo8$2o$b2o$o!,3,xp2_07y14aczy3cik8y5cczzoo,
xs0_0,4bo$2b2o$3b2o$11b2o$10b2o$b2o9bo$2o$2bo!,3,xp2_33z66z66yas,
xs0_0,9bo$7b2o$8b2o3$6b2o$o4b2o$b2o4bo$2o!,3,xp2_33zy3s,
xs0_0,5bo$3b2o$4b2o3$2b2o$b2o$3bo3$b2o$2o$2bo!,3,xp2_ya33y766y9gzs01110syu3452zw222zyi33yacik8w8kk8zyicc,
xs0_0,9bo$7b2o$8b2o5$o$b2o4bo$2o3b2o$6b2o!,3,xp2_0cc01110sz66,
xs0_0,obo$b2o$bo13$9bobo$10b2o$10bo3$10bo$10b2o$9bobo!,3,xp2_7zsy1szw222,
xs0_0,12bo$10b2o$11b2o7$6b2o$2o3b2o$b2o4bo$o!,3,xp2_33zy2s,
xs0_0,o$b2o$2o4$10bo$8b2o$9b2o2$13b2o$12b2o$14bo!,3,xp2_01110szcic,
xs0_0,obo$b2o$bo4$bobo$2b2o$2bo2$5bobo$5b2o$6bo!,3,xp2_06996z70ggg07,
