input,rle,cost,output
xs0_0,4b3o$4bo$5bo$2o$b2o$o2$7b3o$7bo$8bo$b3o$3bo$2bo!,4,xs8_33zcc,
xs0_0,b2o4bo$obo3b2o$2bo3bobo3$4b2o$4bobo$4bo!,3,xs8_25ak8,
xs0_0,3o$2bo8b3o$bo11bo2b3o$4b2o6bo3bo$3bobo11bo$5bo!,4,xs8_35ac,
xs0_0,11b2o$10bobo$12bo2$15b2o$14b2o$16bo$21b3o$21bo$bo20bo$b2o$obo!,4,xs8_312ko,
xs0_0,7bo4b2o$7b2o3bobo$6bobo3bo4$bo9b2o$b2o8bobo$obo8bo!,4,xs8_178k8,
xs0_0,9bo5bo$10b2ob2o$9b2o3b2o16$2o$b2o$o!,3,xs8_ggw33z11,
xs0_0,4b2o$5b2o3b2o$4bo4b2o$11bo$2o$b2o$o!,3,xs8_33zy166,
xs0_0,12bobo$12b2o$13bo4$6bo$5b2o$bo3bobo$b2o$obo!,3,xs8_33x33,
xs0_0,11b2o$12b2o3b2o$11bo4b2o$18bo6$2o$b2o$o!,3,xs8_252zzyf66,
xs0_0,2bo$2o$b2o2$7b2o$6b2o$b2o5bo$2b2o$bo!,3,xs8_33zy2cc,
xs0_0,2bo$2o$b2o3$2b2o$3b2o$2bo9$13b2o$12b2o$14bo!,3,xs8_33y0oo,
xs0_0,2bo$3b2o$2b2o3$b2o$2o$2bo4$12b2o$11b2o$13bo!,3,xs8_33zy133,
xs0_0,9bo$10b2o$9b2o3$o10b2o$b2o9b2o$2o9bo!,3,xs8_33zy2oo,
xs0_0,4bo$5b2o$4b2o3$7bo$2o3b2o$b2o3b2o$o!,3,xs8_33xoo,
xs0_0,obo$b2o$bo4bobo$6b2o$7bo2$7bo$6b2o$6bobo!,3,xs8_330oo,
xs0_0,13bo$obo10b2o$b2o9bobo3bo$bo15b2o$17bobo!,3,xs8_33y366,
xs0_0,15bo$13b2o$4bo9b2o$5b2o$4b2o2$2o$b2o$o!,3,xs8_33y1oo,
xs0_0,obo$b2o$bo2$bo$b2o$obo!,2,xs8_rr,
xs0_0,6bo$obo3bobo$b2o3b2o$bo!,2,xs8_6996,
xs0_0,2bo$obo$b2o2$4b3o$6bo$5bo!,2,xs8_33w66,
xs0_0,bo$2b2o$b2o4$b2o$obo$2bo8$2b3o$4bo$3bo!,3,xs8_33y866,
